id,Province_id,Province,Year, Waste , Visitor , Population , Waste_Head , Waste_Pop , Waste_Visitor , %Waste_Pop , %Waste_Visitor , %Waste_Visitor by Waste_Pop , Proper_Disposal , %Proper_Disposal 
52,TH16,Lop Buri,2561,315035,3454627,758733,1.12,847.92,15.19,98.24,1.76,1.79,154442.00,49.02
53,TH52,Lampang,2561,162334,1332887,742883,0.59,441.28,3.47,99.22,0.78,0.79,114730.00,70.68
54,TH51,Lamphun,2561,150438,1175000,405955,1.01,408.04,4.12,99.00,1.00,1.01,110489.00,73.44
55,TH42,Loei,2561,237217,2233130,642773,0.99,639.45,10.46,98.39,1.61,1.64,95017.00,40.05
56,TH33,Si Sa Ket,2561,495758,1525035,1473011,0.92,1352.37,5.87,99.57,0.43,0.43,207711.00,41.90
57,TH47,Sakon Nakhon,2561,414425,1343345,1152282,0.98,1128.77,6.64,99.42,0.58,0.59,212813.00,51.35
58,TH90,Songkhla,2561,604608,7628813,1432628,1.12,1602.56,53.90,96.75,3.25,3.36,457820.00,75.72
59,TH91,Satun,2561,113449,1519352,321574,0.94,302.32,8.50,97.26,2.74,2.81,98284.00,86.63
60,TH11,Samut Prakan,2561,894166,3373639,1326608,1.83,2428.17,21.60,99.12,0.88,0.89,888691.00,99.39
61,TH75,Samut Songkhram,2561,66036,2048721,193791,0.90,174.30,6.62,96.34,3.66,3.80,55349.00,83.82
62,TH74,Samut Sakhon,2561,335070,1557404,577964,1.57,909.22,8.78,99.04,0.96,0.97,309195.00,92.28
63,TH27,Sa Kaeo,2561,216682,2252606,564092,1.04,584.71,8.94,98.49,1.51,1.53,128257.00,59.19
64,TH19,Saraburi,2561,247258,4356276,645024,1.03,661.28,16.14,97.62,2.38,2.44,208802.00,84.45
65,TH17,Sing Buri,2561,89195,552996,209377,1.16,241.92,2.45,99.00,1.00,1.01,63941.00,71.69
66,TH64,Sukhothai,2561,212153,1461838,597257,0.96,574.92,6.32,98.91,1.09,1.10,184245.00,86.85
67,TH72,Suphan Buri,2561,232191,3331247,848720,0.74,626.70,9.44,98.52,1.48,1.51,119939.00,51.66
68,TH84,Surat Thani,2561,397219,6154544,1063501,0.96,1017.93,70.34,93.54,6.46,6.91,348685.00,87.78
69,TH32,Surin,2561,466653,1404106,1397857,0.91,1271.29,7.21,99.44,0.56,0.57,204597.00,43.84
70,TH43,Nong Khai,2561,182708,2761191,522103,0.94,488.97,11.60,97.68,2.32,2.37,132678.00,72.62
71,TH39,Nong Bua Lam Phu,2561,181266,385359,512117,0.97,494.97,1.65,99.67,0.33,0.33,137572.00,75.90
72,TH15,Ang Thong,2561,104204,816632,280840,1.01,282.77,2.72,99.05,0.95,0.96,97400.00,93.47
73,TH37,Amnat Charoen,2561,132090,314595,378621,0.95,360.30,1.59,99.56,0.44,0.44,93042.00,70.44
74,TH41,Udon Thani,2561,595884,3720457,1586666,1.02,1612.09,20.47,98.75,1.25,1.27,410950.00,68.96
75,TH53,Uttaradit,2561,160286,1074129,455403,0.95,434.77,4.37,99.00,1.00,1.01,84665.00,52.82
76,TH61,Uthai Thani,2561,115519,784218,329433,0.95,313.46,3.03,99.04,0.96,0.97,38270.00,33.13
77,TH34,Ubon Ratchathani,2561,657245,3243323,1874548,0.95,1785.14,15.53,99.14,0.86,0.87,562750.00,85.62
